Academic Year,University,Level of study,Employment Situation,Occupation,Number of Graduates
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,4
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Occupations not elsewhere classified,6
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,4
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Other Service Workers,6
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,4
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,13
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,1
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Teaching Profession,493
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,32
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,5
2018/19,The Education University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,61
2018/19,The Education University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,12
2018/19,The Education University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,35
2018/19,The Education University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,17
2018/19,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Business Professionals,10
2018/19,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,121
2018/19,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Engineers,19
2018/19,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Managers,8
2018/19,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Other Professionals and Technical Workers,1
2018/19,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Physical and Life Scientists,3
2018/19,The Hong Kong Polytechnic University,Research postgraduate,FT employment,System Analysts and Computer Programmers,4
2018/19,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Teaching Profession,42
2018/19,The Hong Kong Polytechnic University,Research postgraduate,Further studies,Not in Full-time Employment,8
2018/19,The Hong Kong Polytechnic University,Research postgraduate,Others,Not in Full-time Employment,32
2018/19,The Hong Kong Polytechnic University,Research postgraduate,Underemployed,Not in Full-time Employment,1
2018/19,The Hong Kong Polytechnic University,Research postgraduate,Unemployed,Not in Full-time Employment,4
2018/19,The Hong Kong Polytechnic University,Sub-degree,FT employment,Architects and Surveyors,6
2018/19,The Hong Kong Polytechnic University,Sub-degree,FT employment,Artists,1
2018/19,The Hong Kong Polytechnic University,Sub-degree,FT employment,Business Professionals,10
2018/19,The Hong Kong Polytechnic University,Sub-degree,FT employment,Clerical and Related Workers,1
2018/19,The Hong Kong Polytechnic University,Sub-degree,FT employment,Engineering Technicians,3
2018/19,The Hong Kong Polytechnic University,Sub-degree,FT employment,Engineers,13
2018/19,The Hong Kong Polytechnic University,Sub-degree,FT employment,Other Professionals and Technical Workers,3
2018/19,The Hong Kong Polytechnic University,Sub-degree,FT employment,Other Service Workers,2
2018/19,The Hong Kong Polytechnic University,Sub-degree,FT employment,Physical and Life Science Technicians,1
2018/19,The Hong Kong Polytechnic University,Sub-degree,FT employment,Sales/Service Workers,1
2018/19,The Hong Kong Polytechnic University,Sub-degree,FT employment,System Analysts and Computer Programmers,3
2018/19,The Hong Kong Polytechnic University,Sub-degree,FT employment,Teaching Profession,2
2018/19,The Hong Kong Polytechnic University,Sub-degree,Further studies,Not in Full-time Employment,410
2018/19,The Hong Kong Polytechnic University,Sub-degree,Others,Not in Full-time Employment,12
2018/19,The Hong Kong Polytechnic University,Sub-degree,Underemployed,Not in Full-time Employment,17
2018/19,The Hong Kong Polytechnic University,Sub-degree,Unemployed,Not in Full-time Employment,3
2018/19,The Hong Kong Polytechnic University,Taught postgraduate,FT employment,Other Professionals and Technical Workers,15
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Accountants and Auditors,193
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Aircraft and Ship Officers,3
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Architects and Surveyors,140
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Artists,157
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Authors | Journalists and Related Writers,30
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Business Professionals,758
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Clerical and Related Workers,24
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,68
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Engineering Technicians,11
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Engineers,451
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Government Officials (General Grades),6
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,23
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Managers,13
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Medical and Health Workers,546
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Other Professionals and Technical Workers,82
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Other Service Workers,78
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Physical and Life Science Technicians,44
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Physical and Life Scientists,13
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Production and Related Workers,25
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Protective Service Workers,14
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Religious Workers,1
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Sales/Service Workers,66
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,System Analysts and Computer Programmers,174
2018/19,The Hong Kong Polytechnic University,Undergraduate,FT employment,Teaching Profession,78
2018/19,The Hong Kong Polytechnic University,Undergraduate,Further studies,Not in Full-time Employment,241
2018/19,The Hong Kong Polytechnic University,Undergraduate,Others,Not in Full-time Employment,209
2018/19,The Hong Kong Polytechnic University,Undergraduate,Underemployed,Not in Full-time Employment,130
2018/19,The Hong Kong Polytechnic University,Undergraduate,Unemployed,Not in Full-time Employment,74
2018/19,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Business Professionals,9
2018/19,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,7
2018/19,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Engineers,32
2018/19,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Government Administrators and Diplomats,1
2018/19,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Insurance | Real Estate | and Business Services,2
2018/19,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Managers,2
2018/19,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Occupations not elsewhere classified,1
2018/19,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Physical and Life Scientists,3
2018/19,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,System Analysts and Computer Programmers,15
2018/19,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Teaching Profession,143
2018/19,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Workers not reporting any occupation,12
2018/19,The Hong Kong University of Science and Technology,Research postgraduate,Further studies,Not in Full-time Employment,94
2018/19,The Hong Kong University of Science and Technology,Research postgraduate,Others,Not in Full-time Employment,147
2018/19,The Hong Kong University of Science and Technology,Research postgraduate,Underemployed,Not in Full-time Employment,8
2018/19,The Hong Kong University of Science and Technology,Research postgraduate,Unemployed,Not in Full-time Employment,8
2018/19,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Accountants and Auditors,154
2018/19,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Aircraft and Ship Officers,8
2018/19,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Artists,7
2018/19,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Authors | Journalists and Related Writers,11
2018/19,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Business Professionals,509
2018/19,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Clerical and Related Workers,27
2018/19,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,12
2018/19,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Engineering Technicians,23
